epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.5506861340332032,41.864,1.3167062545776367,52.42
2,1.024074019165039,63.284,1.0568122917175293,62.92
3,0.7879011505508423,72.272,1.092727719116211,61.8
4,0.6616151064109802,76.998,0.9123826400756836,69.79
5,0.5922947950935363,79.574,0.9131738561630249,69.52
6,0.5360342873001098,81.56,0.7786898880958557,72.74
7,0.49943209352493284,82.91,1.017255991744995,67.68
8,0.46553381039619446,84.112,0.6900338178634644,77.73
9,0.44285796773910524,84.728,0.5984137962341308,79.53
10,0.4208257393360138,85.518,0.7916769853591918,73.37
11,0.4055415958213806,86.198,0.7565294713973999,75.81
12,0.38731126096725466,86.712,0.8454461475372315,74.33
13,0.3619132224941254,87.754,0.5500980108261109,81.95
14,0.3597441282653809,87.79,0.5515279781341553,81.74
15,0.3437805559825897,88.164,0.9724730735778808,71.35
16,0.33921907512664795,88.312,0.8797652289390564,74.24
17,0.32661068259239195,88.81,0.7382686861991883,76.42
18,0.3158926101589203,89.024,0.5795746964454651,80.56
19,0.3048814795589447,89.524,0.6827383163452149,77.76
20,0.30425056322097777,89.522,0.5276135075569153,82.58
21,0.2958441687202454,89.74,0.6576650810241699,79.67
22,0.2888696996879578,89.95,0.6440072015762329,79.82
23,0.29344358592987063,89.902,0.8434255349159241,74.28
24,0.2786240311050415,90.418,0.6721964511871338,78.19
25,0.28479013436317446,90.052,0.6255157222747803,79.47
26,0.2666270454978943,90.814,0.5042129788398743,83.52
27,0.2683854835700989,90.682,0.7840098516464233,75.87
28,0.2672348090219498,90.744,0.6782595260620117,79.22
29,0.2597654219818115,91.052,1.0066727685928345,71.19
30,0.25959973017692567,90.992,0.786451336479187,75.83
31,0.2636784377002716,90.978,0.6411005113601684,79.54
32,0.251443378572464,91.362,0.5315953983783722,82.83
33,0.2493187340068817,91.348,0.5547404010772705,81.23
34,0.25059599177360536,91.394,1.1307812398910522,70.29
35,0.24590821213722228,91.552,1.060159480381012,71.6
36,0.24482081964492797,91.532,0.6192353528976441,80.38
37,0.2388720035123825,91.744,0.8241303508758545,75.59
38,0.24063660791397096,91.708,1.1180636207580565,67.41
39,0.23748493558883668,91.756,0.8667991348266602,74.98
40,0.23761740778923035,91.826,0.5885788251399994,81.31
41,0.2415199977350235,91.716,0.8588542808532715,74.8
42,0.23234946132183074,91.982,0.6493417198181153,80.4
43,0.23594671376228332,91.834,0.7669708417892456,76.94
44,0.2296660545539856,92.078,0.7548964833259583,77.41
45,0.23352000190734865,91.932,0.7337764831542969,76.66
46,0.22834775260925294,92.122,0.9575366222381592,72.62
47,0.2301418686771393,91.99,0.5183410831451416,82.93
48,0.22870389136314392,92.114,0.45931368350982665,85.01
49,0.22438250817298888,92.324,0.5668816360473633,81.97
50,0.22003523324012755,92.392,0.7236955942153931,77.93
