epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.3230708505630493,51.586,1.2507063722610474,55.42
2,0.8688863682174682,69.118,0.9485166404724121,67.17
3,0.6821419262504578,76.124,0.7014943294525147,75.58
4,0.5677597336769103,80.442,0.7404716516494751,74.59
5,0.49933985851287843,82.812,0.735473378944397,74.71
6,0.45710021362304687,84.258,1.0081930347442627,69.55
7,0.41799967502593993,85.756,0.6820259964942932,76.4
8,0.381080477809906,86.938,1.1808810111045838,67.53
9,0.3687395225429535,87.272,0.652034195804596,78.33
10,0.3435527943325043,88.124,0.7628600192070008,75.21
11,0.32850569984436034,88.502,0.6169645439147949,79.04
12,0.3130890310287476,89.048,0.7028367855072022,77.67
13,0.2996181653213501,89.704,0.6546772970199585,78.61
14,0.2952671763801575,89.874,0.5687453722953797,80.52
15,0.2889411245250702,89.942,0.7997931835174561,74.83
16,0.282407152261734,90.082,0.8000121273040771,75.26
17,0.2781637309646606,90.396,0.8756538402557373,74.08
18,0.2681835047626495,90.722,0.7037989088058472,77.58
19,0.266783395152092,90.802,0.6651702829360961,77.34
20,0.25830628518104554,91.052,1.0830747604370117,68.62
21,0.25944605915546415,91.034,0.8068793891906738,74.99
22,0.2578441803407669,91.074,1.2346494857788086,66.44
23,0.24695516069412232,91.52,0.6143791849136353,80.19
24,0.24467966799736024,91.6,0.7346618850708008,77.63
25,0.2518106665802002,91.328,0.6978388120651245,79.14
26,0.24576995133399962,91.446,1.0551233806610107,68.73
27,0.24527048846244812,91.57,0.6339350738525391,79.14
28,0.23971925582885742,91.686,0.767280949306488,76.7
29,0.23868391554832458,91.846,0.6345925788879394,79.98
30,0.23732077229499818,91.85,1.2204804685592652,66.77
31,0.23685108932495116,91.782,0.6068235468864441,79.86
32,0.24139114915847779,91.592,0.7212166267395019,77.92
33,0.23622394147396086,91.836,0.9548341856002808,74.2
34,0.23536943243980407,91.968,0.800003819656372,75.83
35,0.23470563237667083,91.844,1.0072972930908204,69.67
36,0.23497411589622497,91.998,0.9401252239227295,71.81
37,0.23215402493476867,91.892,0.5929053314208984,81.3
38,0.22729660870552063,92.206,0.778496664237976,75.47
39,0.23229066979885102,91.978,0.7174947495937347,78.36
40,0.22234368684768677,92.378,0.9751236181259155,70.81
41,0.22459887027740477,92.31,0.74614499168396,76.09
42,0.22609219888210297,92.26,0.8956243253231049,73.9
43,0.2223234758234024,92.316,0.7959254835128784,76.3
44,0.21982728789329528,92.38,0.7435598857879638,77.81
45,0.22747114059448242,92.082,0.6035713205337524,80.67
46,0.22136930681228636,92.438,1.0543785685539246,71.25
47,0.2285564702129364,92.088,0.755974176979065,76.98
48,0.2295250623321533,92.0,0.6811597912073135,78.32
49,0.22801670562744142,92.206,1.0973089065551758,72.43
50,0.20878063051223755,92.852,1.0787442344665528,71.28
